,name,5.6_Peak_Area,5.6_actual-RT,5.9_Peak_Area,5.9_actual-RT,6.4_Peak_Area,6.4_actual-RT,7.6_Peak_Area,7.6_actual-RT,8.1_Peak_Area,8.1_actual-RT,8.9_Peak_Area,8.9_actual-RT,11.1_Peak_Area,11.1_actual-RT,13.8_Peak_Area,13.8_actual-RT,14.1_Peak_Area,14.1_actual-RT,16.0_Peak_Area,16.0_actual-RT,18.7_Peak_Area,18.7_actual-RT,19.5_Peak_Area,19.5_actual-RT,19.7_Peak_Area,19.7_actual-RT
F-043-86-CL_whiskey_08.D,CL_whiskey_08.D,,,,,,,13160.7,7.682,,,,,21.18939,11.119,,,12.32978,14.121,82.83041,16.021,,,,,7.84127,19.783
F-017-72-CL_2.D,CL_2.D,3.36792,5.608,,,3.39376,6.348,,,127176.0,8.169,53.4869,8.896,,,2.36953,13.809,234.6748,14.147,1053.96399,16.073,,,,,517.78217,19.793
F-006-71-CL_1.D,CL_1.D,3.16382,5.616,,,,,,,131801.0,8.185,24.3619,8.913,,,303.24802,13.772,50.96272,14.155,1019.23871,16.074,,,,,258.8241,19.788
F-035-74-CL_4.D,CL_4.D,3.62683,5.608,,,10.24747,6.342,,,130628.0,8.183,370.35135,8.902,,,145.20685,13.774,5.83699,14.183,984.71228,16.073,,,,,61.57431,19.789
F-050-87-CL_ROH_07.D,CL_ROH_07.D,,,,,2.45925,6.533,11788.7,7.685,,,,,6.37651,11.152,1.6167,13.82,22.14824,14.125,84.2398,16.031,,,34.66222,19.574,14.7584,19.784
F-061-88-CL_Lismore.D,CL_Lismore.D,,,3.84904,5.937,,,11358.7,7.76,,,,,11.06251,11.226,2.84147,13.896,20.70597,14.181,86.2141,16.063,,,37.63859,19.596,18.96551,19.806
F-051-87-CL_ROH_07.D,CL_ROH_07.D,,,,,2.59384,6.534,11580.3,7.685,,,,,6.26482,11.149,1.5731,13.818,21.61603,14.123,82.62552,16.029,,,34.01628,19.572,14.64576,19.783
F-067-89-CL_Clarlyle.D,CL_Clarlyle.D,,,,,1.80357,6.522,12073.6,7.684,,,,,16.26211,11.131,2.67091,13.807,12.73375,14.129,118.66006,16.028,,,11.19796,19.585,6.15312,19.795
F-025-73-CL_3.D,CL_3.D,3.14655,5.608,,,,,,,134338.0,8.2,194.83318,8.911,,,32.65845,13.783,535.30591,14.157,1039.04773,16.079,,,,,4.74289,19.818
F-033-74-CL_4.D,CL_4.D,3.87055,5.608,,,10.23787,6.348,,,131650.0,8.189,375.54974,8.908,,,145.16605,13.778,5.9772,14.186,992.42834,16.077,,,,,61.941,19.793
